4	3
945178059564	-0.630692	579
945178060665	-0.693264	599
945178071078	-0.903133	596
945178052893	0.632812	341
945178055727	0.105892	344
945178052580	0.027966	352
945178083864	-0.037121	348
945178052027	-0.117710	334
945178064671	-0.201164	325
945178055772	-0.438301	357
945178057562	-0.580448	327
945178083301	-0.813744	353
945178059172	-0.820656	360
4	3
954605338103	1.732040	834
954605338243	0.490250	595
954605337322	0.314606	592
954605339162	0.188026	838
954605335493	4.058578	360
954605337759	0.690372	72
954605345288	-0.307549	370
6	6
968676183597	-0.472939	597
968676188554	-0.820927	598
968676214651	-0.864273	870
968676210292	-0.874420	590
968676193959	-0.928043	601
968676236506	-1.055660	588
968676189218	3.865421	360
968676190225	1.336441	93
968676190780	1.242985	92
968676191187	0.544334	357
968676216165	-0.292381	370
968676201132	-0.392033	65
4	4
970592293882	2.556202	599
970592294983	1.177814	861
970592295732	1.138016	864
970592296399	0.752663	596
970592296187	0.905872	74
970592294687	0.231251	349
970592295641	0.184822	352
970592298311	-0.452965	69
3	3
979334891487	2.535156	841
979334893490	1.005600	612
979334893563	0.170750	609
979334891185	2.222488	109
979334892935	1.623875	379
979334892299	0.458511	113
3	3
987287098190	2.442051	625
987287098596	0.559910	621
987287100735	-0.096157	622
987287100192	1.945141	370
987287102677	-0.298733	360
987287113260	-1.096039	87
4	4
1008646727723	1.554783	847
1008646728404	0.547623	593
1008646728714	0.312103	594
1008646734134	-0.527233	592
1008646727305	1.602623	335
1008646729248	1.469460	78
1008646728833	0.227016	361
1008646730494	-0.622700	69
3	4
1019293444546	1.423393	839
1019293444110	0.813770	608
1019293445320	0.544415	844
1019293445238	1.229694	66
1019293443947	1.179680	323
1019293444919	1.068314	75
1019293443591	0.437222	321
3	4
1032713360391	0.903130	842
1032713360076	0.767105	598
1032713372122	-0.388439	595
1032713360932	1.132286	343
1032713362200	0.959923	83
1032713364602	0.158268	86
1032713364683	-0.029682	337
4	4
1033436165168	2.015640	879
1033436165121	0.568451	583
1033436171108	-0.195198	876
1033436166986	-0.293873	588
1033436166165	1.193699	362
1033436165809	0.687508	67
1033436167633	0.283176	364
1033436166811	0.259949	76
3	5
1050190317355	2.342430	601
1050190317806	1.938988	878
1050190319879	0.787395	604
1050190319932	4.286346	66
1050190318671	1.394161	356
1050190320033	0.360939	353
1050190319133	0.252415	355
1050190321248	0.218849	75
4	2
1076739713659	0.977535	842
1076739715827	0.710106	632
1076739715627	0.472168	837
1076739734286	-0.546070	624
1076739712739	1.057713	332
1076739712921	0.427177	327
2	4
1082805140645	-0.221340	855
1082805148297	-0.550117	578
1082805130926	3.934814	369
1082805130223	2.929485	86
1082805133195	2.417767	377
1082805131641	1.137367	365
2	4
1082920861289	1.839207	880
1082920860501	1.745552	601
1082920862186	2.750587	377
1082920861657	1.516327	66
1082920863531	0.534416	75
1082920865884	0.421974	381
4	5
1084533596128	1.219303	637
1084533596413	1.158974	891
1084533598544	0.680332	633
1084533594619	0.644123	894
1084533596089	1.811584	107
1084533595610	0.899635	356
1084533593316	0.413025	353
1084533599896	-0.410591	110
1084533612139	-1.078613	116
4	4
1112441565145	1.396610	635
1112441562216	1.160870	860
1112441563286	1.066334	626
1112441418749	-0.753712	879
1112441560217	1.740639	352
1112441563143	1.261738	120
1112441561770	0.860413	349
1112441564886	0.424755	127
3	2
1128461152340	0.755421	576
1128461151690	0.667377	870
1128461154879	0.439213	890
1128461153255	1.316895	87
1128461157893	-0.389053	81
4	3
1131146110864	1.171700	838
1131146109807	0.835690	589
1131146110227	0.010780	834
1131146111369	-0.265476	603
1131146109166	1.573441	370
1131146109473	1.175640	72
1131146110186	0.550488	88
5	5
1134981222248	1.563229	843
1134981221201	1.203552	834
1134981221668	0.723518	612
1134981222875	0.612118	609
1134981231962	-0.959984	862
1134981224050	3.147152	323
1134981225109	1.844788	341
1134981224519	1.592621	95
1134981229261	0.160557	342
1134981227864	-0.054657	75
3	4
1139260423383	1.196762	616
1139260422041	1.053143	873
1139260422589	0.859451	871
1139260424746	2.019913	126
1139260422197	1.564312	331
1139260426584	0.700573	322
1139260233748	-1.263916	110
5	4
1145628394721	1.458874	834
1145628395055	1.264233	847
1145628396759	0.938259	873
1145628394779	0.808319	597
1145628397653	-0.189060	843
1145628394986	1.927635	359
1145628395210	0.466072	356
1145628397124	0.395142	85
1145628395759	0.387970	86
4	5
1151853434338	1.511406	601
1151853435186	1.396442	834
1151853437186	0.338543	577
1151853439391	-0.352089	838
1151853436037	1.449215	361
1151853438650	1.292938	64
1151853438577	0.253784	359
1151853436984	0.064270	80
1151853483865	-1.183170	89
4	3
1155890250583	1.951138	871
1155890251725	1.188019	611
1155890251375	0.599350	610
1155890253451	0.334553	873
1155890251702	1.694149	361
1155890253125	1.438736	125
1155890256005	0.389328	122
4	2
1157437834979	3.121525	618
