Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
101, 8, 12200, 9.682676, 2, 2.156235, 1, 1.588963, 2, 2.712361, 3, 3.225117, 54.41916, 51.08816, 72.27884, 77.13905, 1, 1
102, 12, 12267, 11.7942, 4, 0.397674, 2, 3.063965, 4, 5.493873, 2, 2.838692, 21.03289, 79.50279, 64.38459, 76.26997, 1, 1
103, 6, 9132, 8.195217, 2, 4.750339, 1, -0.300034, 1, 2.103436, 2, 1.641476, 33.2759, 38.15238, 11.08703, 58.95591, 1, 1
104, 8, 6263, 3.723778, 2, 1.355976, 2, 1.467762, 2, 0.432167, 2, 0.467873, 81.03151, 65.07741, 68.64732, 74.21826, 1, 1
105, 7, 5386, 11.11502, 1, 2.915546, 2, 2.257813, 2, 4.108898, 2, 1.832763, 92.51571, 65.83013, 102.6438, 58.20958, 1, 0
106, 6, 3372, 11.92063, 2, 4.398384, 1, 2.974022, 2, 1.886852, 1, 2.661373, 7.059479, 83.72115, 40.52366, 66.60542, 1, 1
107, 8, 16713, 11.9719, 2, 2.716046, 2, 2.808495, 1, 2.399563, 3, 4.047798, 86.41089, 40.87877, 73.18308, 57.43728, 1, 1
108, 16, 34197, -5.980866, -1e+06, -1e+06, 10, -2.242474, 6, -3.738392, -1e+06, -1e+06, -1e+06, 57.62523, 14.88462, -1e+06, 0, 1
109, 7, 9795, 7.166323, 1, 0.690372, 2, 3.751029, 2, 0.804856, 2, 1.920066, 38.307, 63.93699, 13.0463, 48.50362, 1, 1
110, 12, 52909, 1.288505, 3, 2.187393, 3, 4.117374, 5, -4.151989, 1, -0.864273, 29.64955, 66.33531, 18.07436, 72.39462, 0, 1
111, 8, 4429, 6.493675, 2, 0.452907, 2, 0.416073, 2, 3.308865, 2, 2.31583, 8.991521, 30.1521, 3.097441, 30.18221, 1, 1
112, 6, 2378, 8.01638, 2, 2.680999, 1, 1.623875, 2, 1.17635, 1, 2.535156, 80.87554, 62.87605, 57.96795, 59.65551, 1, 1
113, 6, 15070, 3.456173, 1, -1.096039, 2, 1.646408, 3, 2.905804, -1e+06, -1e+06, 3.3, 64.05062, 79.40873, -1e+06, 1, 1
114, 8, 6829, 4.563675, 2, 0.84676, 2, 1.829639, 3, 0.332493, 1, 1.554783, 7.584243, 51.85111, -18.21361, 51.34776, 0, 0
115, 7, 1729, 6.696488, 2, 2.298008, 2, 1.616902, 1, 0.81377, 2, 1.967808, 47.24442, 23.45967, 30.98637, 21.33413, 1, 1
116, 7, 12046, 3.502591, 2, 1.118191, 2, 1.102604, 2, 0.378666, 1, 0.90313, 15.30639, 2.031617, 15.37777, 9.718095, 1, 1
117, 8, 5987, 4.519352, 2, 0.947457, 2, 1.476875, 2, 0.274578, 2, 1.820442, 22.72301, 95.81802, 20.18632, 94.20484, 1, 1
118, 8, 3893, 11.58152, 2, 4.505195, 3, 2.007515, 2, 3.129825, 1, 1.938988, 47.37159, 58.05636, 27.40227, 82.93322, 0, 1
119, 6, 21547, 3.098629, -1e+06, -1e+06, 2, 1.48489, 2, 0.164036, 2, 1.449703, -1e+06, 20.97532, 78.11442, 9.362595, 0, 1
120, 6, 18074, 9.647976, 1, 2.929485, 3, 7.489948, 1, -0.550117, 1, -0.22134, 16.11059, 78.91793, 48.36125, 2.647866, 1, 1
121, 6, 5383, 8.808063, 2, 2.050743, 2, 3.172561, 1, 1.745552, 1, 1.839207, 47.12029, 75.59772, 25.7137, 92.22747, 1, 1
122, 9, 18823, 5.337772, 3, 0.32238, 2, 1.31266, 2, 1.899635, 2, 1.803097, 80.73094, 57.02422, 75.9563, 61.769, 1, 1
123, 7, 4928, 7.911359, 2, 1.686493, 2, 2.601052, 2, 2.462944, 1, 1.16087, 89.17378, 30.94574, 63.47769, 28.51685, 1, 1
124, 5, 6203, 2.789853, 2, 0.927842, -1e+06, -1e+06, 1, 0.755421, 2, 1.10659, 3.991861, -1e+06, 11.55, 73.2549, 1, 1
125, 7, 2203, 5.052263, 2, 1.726128, 1, 1.573441, 2, 0.570214, 2, 1.18248, 39.26386, 64.12609, 34.34076, 49.00048, 1, 1
126, 10, 10761, 9.832894, 2, 1.537964, 3, 5.152497, 2, 1.335636, 3, 1.806797, 44.58766, 21.12205, 57.0865, 49.05246, 0, 1
127, 6, 4543, 7.394154, 1, 2.019913, 2, 2.264885, 1, 1.196762, 2, 1.912594, 60.87317, 46.53698, 66.58825, 53.64465, 1, 1
128, 9, 2932, 7.457444, 2, 0.783112, 2, 2.393707, 1, 0.808319, 4, 3.472306, 17.14094, 55.51611, 17.5113, 50.47889, 0, 1
129, 8, 5053, 5.954509, 2, 1.357208, 2, 1.702999, 2, 1.849949, 2, 1.044353, 13.35845, 53.51579, 26.22676, 48.49583, 1, 1
130, 7, 5422, 7.595273, 2, 1.828064, 1, 1.694149, 2, 1.787369, 2, 2.285691, 75.26077, 53.41849, 69.72141, 53.40654, 1, 1
131, 6, 7571, 8.798348, -1e+06, -1e+06, 2, 1.702427, 3, 5.240414, 1, 1.855507, -1e+06, 44.02698, 96.7493, 51.15, 0, 1
132, 7, 38940, 3.60212, 2, 0.033013, 3, 3.857956, 2, -0.288849, -1e+06, -1e+06, 44.76482, 30.19392, 101.8261, -1e+06, 0, 1
133, 9, 11655, 7.017334, 3, -0.363053, 2, 3.128464, 2, 2.032631, 2, 2.219292, 31.97904, 5.53771, 43.06215, 31.1244, 1, 1
134, 8, 3602, 10.58266, 2, 2.366783, 2, 1.679047, 1, 3.48737, 3, 3.049457, 78.55164, 58.27591, 84.55554, 67.58181, 0, 1
135, 8, 5301, 6.64056, 2, 2.025695, 2, 1.255055, 2, 1.704334, 2, 1.655476, 25.12798, 51.83617, 8.379356, 63.28032, 1, 1
136, 8, 5548, 7.968064, 2, 1.440739, 2, 3.849621, 2, 1.305695, 2, 1.372009, 83.85174, 18.35575, 84.2112, 4.906193, 1, 1
137, 9, 2299, 4.591447, 2, 1.740723, 3, 1.233456, 2, 0.611645, 2, 1.005623, 35.0567, 62.96996, 22.40282, 69.68368, 0, 1
138, 8, 3342, 7.147365, 2, 1.998833, 2, 2.114074, 2, 1.781929, 2, 1.252529, 18.97255, 19.06541, 23.67491, 11.43614, 1, 1
139, 8, 10718, 4.884651, 2, 2.013496, 2, 1.950416, 1, 0.497597, 3, 0.423142, 2.373337, 38.26358, 0.006053326, 21.49144, 1, 0
140, 9, 29529, 8.970452, 2, 1.336888, 3, 4.043225, 2, 1.696598, 2, 1.893741, 59.22106, 31.86964, 57.88137, 48.73891, 0, 0
141, 4, 14996, -3.774483, 2, -2.301014, -1e+06, -1e+06, 2, -1.473469, -1e+06, -1e+06, 81.63047, -1e+06, 81.60586, -1e+06, 1, 1
142, 6, 6487, 7.303895, 2, 2.899872, 2, 0.559708, 2, 3.844315, -1e+06, -1e+06, 87.13704, 71.53568, 78.62119, -1e+06, 1, 1
143, 8, 18766, 7.350365, 2, 1.591046, 3, 1.751964, 1, 1.591, 2, 2.416355, 41.62308, 30.14139, 67.05154, 19.82944, 1, 1
144, 6, 4410, 6.679051, 2, 1.297024, 2, 3.711609, 1, 1.092453, 1, 0.577965, 77.16457, 40.33712, 79.64294, 51.80944, 1, 1
145, 9, 34217, 4.225663, 3, -0.666096, 2, 2.505116, 2, 1.455528, 2, 0.931115, 13.18001, 4.335927, 10.16747, 16.7654, 1, 1
